ID,CALL,CN,TYPE
053E5E5C,D-KAXW,VH,ASW 22BLE,val
06DD88DF,D-KBHS,MM,ASW 22BLE,val
22D00442,D-KDTM,MD,JS1 C,val
06DDA524,D-KTEX,TEX,Nimbus 4M
XXXXXX,D-KFPI,EPI,Nimbus 4DM
06DF02A3,D-KFJE,FJ,EB 29R,val
06DDE296,D-KLFU,FU,EB 29D,val
06DF0935,D-KGYY,YY,Nimeta X,val
053ECC23,D-KUSA,VX,ASH 31Mi,val
06DD9651,D-7064,QAX,ASH 25,val
06DD9A24,D-1763,DF,ASH 25,val
06DDD8BB,D-KONX,NY,ASW 22BLE,val
06DDA36B,D-KUNX,NX,EB 28,val
06DF1007,D-KBFO,FO,Nimbus 4t,val
06DF0EDE,D-KAVY,VY,JS1 C,val
06DF084D,D-KHVG,TOY,ASG 29E,val
053E6B1D,D-KFTL,LY,ASH 25 EB28,val
22D0013C,D-KLMD,LM,ASH 25E,val
3AA007,D-KPAM,AM,EB 29
06DF1407,D-KIRB,RB,EB 28,val
06DDAAFE,D-KUBR,ET,Nimbus 4,val
06DD04AC,D-KBWI,W1,ASG 32Mi
06DF0DFC,D-KPJJ,JOY,ASG 29E,val
06DDC1D8,D-KAXC,I,Antares,val
053E747C,D-KJHS,HS,EB 29,val
06DD9A0F,D-KSWR,WR,ASW 22BLE,val
046B81BE,D-KAIM,IM,ASH 25E
06DD96EC,D-KKUP,KV,ASW 22BLE,val
06DD87BD,D-KXXX,HW, Nimbus 4DM
